device_id,timestamp,temp_c,voltage
dev-a01,2026-07-28T09:00:00+09:00,70.1,3.90
dev-a01,2026-07-28T09:15:00+09:00,69.8,3.89
dev-a01,2026-07-28T09:30:00+09:00,70.1,3.89
dev-a01,2026-07-28T09:45:00+09:00,69.8,3.92
dev-a01,2026-07-28T10:00:00+09:00,70.2,3.89
dev-a01,2026-07-28T10:15:00+09:00,69.9,3.89
dev-a01,2026-07-28T10:30:00+09:00,69.8,3.89
dev-a01,2026-07-28T10:45:00+09:00,70.2,3.88
dev-a01,2026-07-28T11:00:00+09:00,69.9,3.91
dev-a01,2026-07-28T11:15:00+09:00,,3.89
dev-a01,2026-07-28T11:30:00+09:00,70.2,3.90
dev-a01,2026-07-28T11:45:00+09:00,70.2,3.91
dev-a01,2026-07-28T12:00:00+09:00,69.8,3.90
dev-a01,2026-07-28T12:15:00+09:00,69.8,3.93
dev-a01,2026-07-28T12:30:00+09:00,69.9,3.88
dev-a01,2026-07-28T12:45:00+09:00,70.1,3.91
dev-a01,2026-07-28T13:00:00+09:00,70.1,3.91
dev-a01,2026-07-28T13:15:00+09:00,69.8,3.91
dev-a01,2026-07-28T13:30:00+09:00,70.1,3.92
dev-a01,2026-07-28T13:45:00+09:00,69.9,3.88
dev-a01,2026-07-28T14:00:00+09:00,69.8,3.90
dev-a01,2026-07-28T14:15:00+09:00,70.1,3.91
dev-a01,2026-07-28T14:30:00+09:00,69.9,3.89
dev-a01,2026-07-28T14:45:00+09:00,70.2,3.93
dev-a02,2026-07-28T09:00:00+09:00,60.9,3.87
dev-a02,2026-07-28T09:15:00+09:00,62.2,3.85
dev-a02,2026-07-28T09:30:00+09:00,62.8,3.88
dev-a02,2026-07-28T09:45:00+09:00,63.9,3.85
dev-a02,2026-07-28T10:00:00+09:00,64.8,3.86
dev-a02,2026-07-28T10:15:00+09:00,65.9,3.91
dev-a02,2026-07-28T10:30:00+09:00,66.5,3.89
dev-a02,2026-07-28T10:45:00+09:00,67.7,3.90
dev-a02,2026-07-28T11:00:00+09:00,68.7,3.87
dev-a02,2026-07-28T11:15:00+09:00,69.5,3.90
dev-a02,2026-07-28T11:30:00+09:00,70.5,3.87
dev-a02,2026-07-28T11:45:00+09:00,71.3,3.91
dev-a02,2026-07-28T12:00:00+09:00,72.5,3.86
dev-a02,2026-07-28T12:15:00+09:00,73.1,3.91
dev-a02,2026-07-28T12:30:00+09:00,74.3,3.90
dev-a02,2026-07-28T12:45:00+09:00,75.1,3.86
dev-a02,2026-07-28T13:00:00+09:00,76.4,3.91
dev-a02,2026-07-28T13:15:00+09:00,77.2,3.90
dev-a02,2026-07-28T13:30:00+09:00,78.1,3.89
dev-a02,2026-07-28T13:45:00+09:00,79.0,3.90
dev-a02,2026-07-28T14:00:00+09:00,80.0,3.87
dev-a02,2026-07-28T14:15:00+09:00,81.0,3.85
dev-a02,2026-07-28T14:30:00+09:00,82.1,3.89
dev-a02,2026-07-28T14:45:00+09:00,83.0,3.85
