device_id,timestamp,temp_c,voltage
dev-r01,2026-07-30T08:00:00+09:00,71.2,3.88
dev-r01,2026-07-30T08:15:00+09:00,71.9,3.87

dev-r02,2026-07-30T08:00:00+09:00,86.4,3.71
dev-r02,2026-07-30T08:15:00+09:00,87.1,3.70
dev-r03,2026-07-30T08:00:00+09:00,--,3.90
dev-r03,2026-07-30T08:15:00+09:00,68.8,3.91
dev-r04,2026-07-30T08:00:00+09:00
dev-r04,2026-07-30T08:15:00+09:00,70.0,3.80,extra,更多垃圾
device_id,timestamp,temp_c,voltage
dev-r05，2026-07-30T08:00:00+09:00，69.5，3.85
dev-r06,2026-07-30T08:00:00+09:00,72.3,3.44
dev-r06,2026-07-30T08:15:00+09:00,72.8,3.42
   
dev-r07,2026-07-30T08:00:00+09:00,N/A,N/A
dev-r08,2026-07-30T08:00:00+09:00,73.1,3.90
dev-r08,2026-07-30T08:15:00+09:00,73.4,3.89
dev-r08,2026-07-30T08:30:00+09:00,73.9,3.88
